,Ticker,E50.PA,E50.PA.1,E50.PA.2,E50.PA.3,E50.PA.4,E50.PA.5,ANX.PA,ANX.PA.1,ANX.PA.2,ANX.PA.3,ANX.PA.4,ES5.PA,ES5.PA.1,ES5.PA.2,ES5.PA.3,ES5.PA.4,ES5.PA.5
0,Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Adj Close,Volume
1,Date,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Adj Close,Volume
2,2020-01-02,Open,High,Low,Close,Adj Close,Volume,86.66999816894531,87.19999694824219,86.66999816894531,87.12000274658203,1077,Open,High,Low,Close,Adj Close,Volume
3,2020-01-03,Open,High,Low,Close,Adj Close,Volume,87.16999816894531,87.44999694824219,86.97000122070312,87.30999755859375,1350,Open,High,Low,Close,Adj Close,Volume
4,2020-01-06,Open,High,Low,Close,Adj Close,Volume,86.87000274658203,87.29000091552734,86.33999633789062,87.29000091552734,120,Open,High,Low,Close,Adj Close,Volume
5,2020-01-07,Open,High,Low,Close,Adj Close,Volume,87.68000030517578,88.20999908447266,87.68000030517578,88.0999984741211,979,Open,High,Low,Close,Adj Close,Volume
6,2020-01-08,Open,High,Low,Close,Adj Close,Volume,87.66000366210938,88.4800033569336,87.6500015258789,88.4800033569336,9806,Open,High,Low,Close,Adj Close,Volume
7,2020-01-09,Open,High,Low,Close,Adj Close,Volume,89.41999816894531,89.80000305175781,89.41000366210938,89.66000366210938,2437,Open,High,Low,Close,Adj Close,Volume
8,2020-01-10,Open,High,Low,Close,Adj Close,Volume,89.77999877929688,90.16999816894531,89.76000213623047,89.76000213623047,629,Open,High,Low,Close,Adj Close,Volume
9,2020-01-13,Open,High,Low,Close,Adj Close,Volume,89.62000274658203,89.83999633789062,89.62000274658203,89.69000244140625,6857,Open,High,Low,Close,Adj Close,Volume
10,2020-01-14,Open,High,Low,Close,Adj Close,Volume,89.95999908447266,90.33999633789062,89.80999755859375,90.08999633789062,3955,Open,High,Low,Close,Adj Close,Volume
11,2020-01-15,Open,High,Low,Close,Adj Close,Volume,90.04000091552734,90.20999908447266,89.83999633789062,90.04000091552734,561,Open,High,Low,Close,Adj Close,Volume
12,2020-01-16,Open,High,Low,Close,Adj Close,Volume,90.19000244140625,90.36000061035156,90.13999938964844,90.29000091552734,314,Open,High,Low,Close,Adj Close,Volume
13,2020-01-17,Open,High,Low,Close,Adj Close,Volume,90.87999725341797,91.5199966430664,90.87999725341797,91.16999816894531,1449,Open,High,Low,Close,Adj Close,Volume
14,2020-01-20,Open,High,Low,Close,Adj Close,Volume,91.44000244140625,91.58999633789062,91.44000244140625,91.58999633789062,6648,Open,High,Low,Close,Adj Close,Volume
15,2020-01-21,Open,High,Low,Close,Adj Close,Volume,91.08999633789062,91.6500015258789,90.95999908447266,91.6500015258789,3282,Open,High,Low,Close,Adj Close,Volume
